Time	Exact_Real	VQTE_Real
0.000000	-0.000000	0.000000
0.001000	0.001248	0.001248
0.002000	0.002494	0.002494
0.003000	0.003736	0.003736
0.004000	0.004975	0.004975
0.005000	0.006211	0.006211
0.006000	0.007444	0.007444
0.007000	0.008674	0.008674
0.008000	0.009901	0.009901
0.009000	0.011124	0.011125
0.010000	0.012345	0.012345
0.011000	0.013563	0.013563
0.012000	0.014777	0.014777
0.013000	0.015989	0.015989
0.014000	0.017197	0.017198
0.015000	0.018403	0.018403
0.016000	0.019605	0.019606
0.017000	0.020805	0.020805
0.018000	0.022001	0.022002
0.019000	0.023195	0.023195
0.020000	0.024385	0.024386
0.021000	0.025573	0.025574
0.022000	0.026757	0.026758
0.023000	0.027939	0.027940
0.024000	0.029118	0.029119
0.025000	0.030293	0.030295
0.026000	0.031466	0.031467
0.027000	0.032636	0.032637
0.028000	0.033803	0.033804
0.029000	0.034967	0.034969
0.030000	0.036128	0.036130
0.031000	0.037286	0.037288
0.032000	0.038442	0.038444
0.033000	0.039594	0.039596
0.034000	0.040744	0.040746
0.035000	0.041891	0.041893
0.036000	0.043034	0.043037
0.037000	0.044175	0.044178
0.038000	0.045314	0.045316
0.039000	0.046449	0.046451
0.040000	0.047581	0.047584
0.041000	0.048711	0.048714
0.042000	0.049838	0.049841
0.043000	0.050962	0.050965
0.044000	0.052083	0.052086
0.045000	0.053201	0.053205
0.046000	0.054317	0.054321
0.047000	0.055430	0.055434
0.048000	0.056540	0.056544
0.049000	0.057647	0.057651
0.050000	0.058752	0.058756
0.051000	0.059853	0.059858
0.052000	0.060952	0.060957
0.053000	0.062049	0.062053
0.054000	0.063142	0.063147
0.055000	0.064233	0.064238
0.056000	0.065321	0.065326
0.057000	0.066406	0.066412
0.058000	0.067489	0.067494
0.059000	0.068569	0.068575
0.060000	0.069646	0.069652
0.061000	0.070721	0.070727
0.062000	0.071792	0.071799
0.063000	0.072862	0.072868
0.064000	0.073928	0.073935
0.065000	0.074992	0.074999
0.066000	0.076053	0.076060
0.067000	0.077112	0.077119
0.068000	0.078168	0.078175
0.069000	0.079221	0.079229
0.070000	0.080271	0.080279
0.071000	0.081320	0.081328
0.072000	0.082365	0.082373
0.073000	0.083408	0.083416
0.074000	0.084448	0.084457
0.075000	0.085485	0.085494
0.076000	0.086520	0.086530
0.077000	0.087553	0.087562
0.078000	0.088583	0.088592
0.079000	0.089610	0.089620
0.080000	0.090635	0.090645
0.081000	0.091657	0.091667
0.082000	0.092676	0.092687
0.083000	0.093693	0.093704
0.084000	0.094708	0.094719
0.085000	0.095720	0.095731
0.086000	0.096729	0.096741
0.087000	0.097736	0.097748
0.088000	0.098741	0.098753
0.089000	0.099742	0.099755
0.090000	0.100742	0.100754
0.091000	0.101739	0.101752
0.092000	0.102733	0.102746
0.093000	0.103725	0.103738
0.094000	0.104715	0.104728
0.095000	0.105702	0.105715
0.096000	0.106686	0.106700
0.097000	0.107668	0.107682
0.098000	0.108648	0.108662
0.099000	0.109625	0.109640
0.100000	0.110600	0.110615
0.101000	0.111572	0.111587
0.102000	0.112542	0.112557
0.103000	0.113509	0.113525
0.104000	0.114474	0.114490
0.105000	0.115437	0.115453
0.106000	0.116397	0.116414
0.107000	0.117355	0.117372
0.108000	0.118310	0.118327
0.109000	0.119263	0.119281
0.110000	0.120214	0.120232
0.111000	0.121162	0.121180
0.112000	0.122108	0.122126
0.113000	0.123052	0.123070
0.114000	0.123993	0.124012
0.115000	0.124932	0.124951
0.116000	0.125868	0.125888
0.117000	0.126802	0.126822
0.118000	0.127734	0.127754
0.119000	0.128664	0.128684
0.120000	0.129591	0.129611
0.121000	0.130516	0.130537
0.122000	0.131438	0.131459
0.123000	0.132359	0.132380
0.124000	0.133277	0.133298
0.125000	0.134192	0.134214
0.126000	0.135106	0.135128
0.127000	0.136017	0.136039
0.128000	0.136925	0.136948
0.129000	0.137832	0.137855
0.130000	0.138736	0.138760
0.131000	0.139638	0.139662
0.132000	0.140538	0.140562
0.133000	0.141436	0.141460
0.134000	0.142331	0.142356
0.135000	0.143224	0.143249
0.136000	0.144115	0.144140
0.137000	0.145003	0.145029
0.138000	0.145890	0.145916
0.139000	0.146774	0.146800
0.140000	0.147656	0.147682
0.141000	0.148536	0.148562
0.142000	0.149413	0.149440
0.143000	0.150289	0.150316
0.144000	0.151162	0.151189
0.145000	0.152033	0.152061
0.146000	0.152902	0.152930
0.147000	0.153768	0.153797
0.148000	0.154633	0.154662
0.149000	0.155495	0.155524
0.150000	0.156355	0.156385
0.151000	0.157213	0.157243
0.152000	0.158069	0.158099
0.153000	0.158923	0.158953
0.154000	0.159775	0.159805
0.155000	0.160624	0.160655
0.156000	0.161472	0.161503
0.157000	0.162317	0.162348
0.158000	0.163160	0.163192
0.159000	0.164001	0.164033
0.160000	0.164840	0.164873
0.161000	0.165677	0.165710
0.162000	0.166512	0.166545
0.163000	0.167344	0.167378
0.164000	0.168175	0.168209
0.165000	0.169003	0.169038
0.166000	0.169830	0.169864
0.167000	0.170654	0.170689
0.168000	0.171477	0.171512
0.169000	0.172297	0.172332
0.170000	0.173115	0.173151
0.171000	0.173931	0.173967
0.172000	0.174745	0.174782
0.173000	0.175558	0.175594
0.174000	0.176368	0.176405
0.175000	0.177176	0.177213
0.176000	0.177982	0.178020
0.177000	0.178786	0.178824
0.178000	0.179588	0.179626
0.179000	0.180388	0.180427
0.180000	0.181186	0.181225
0.181000	0.181982	0.182021
0.182000	0.182776	0.182816
0.183000	0.183568	0.183608
0.184000	0.184358	0.184398
0.185000	0.185146	0.185187
0.186000	0.185932	0.185973
0.187000	0.186717	0.186758
0.188000	0.187499	0.187540
0.189000	0.188279	0.188321
0.190000	0.189057	0.189100
0.191000	0.189834	0.189876
0.192000	0.190608	0.190651
0.193000	0.191381	0.191424
0.194000	0.192151	0.192195
0.195000	0.192920	0.192964
0.196000	0.193687	0.193731
0.197000	0.194452	0.194496
0.198000	0.195215	0.195259
0.199000	0.195976	0.196021
0.200000	0.196735	0.196780
0.201000	0.197492	0.197538
0.202000	0.198247	0.198293
0.203000	0.199001	0.199047
0.204000	0.199752	0.199799
0.205000	0.200502	0.200549
0.206000	0.201250	0.201297
0.207000	0.201996	0.202043
0.208000	0.202740	0.202788
0.209000	0.203482	0.203530
0.210000	0.204222	0.204271
0.211000	0.204961	0.205010
0.212000	0.205698	0.205747
0.213000	0.206432	0.206482
0.214000	0.207165	0.207215
0.215000	0.207897	0.207947
0.216000	0.208626	0.208677
0.217000	0.209353	0.209404
0.218000	0.210079	0.210130
0.219000	0.210803	0.210855
0.220000	0.211525	0.211577
0.221000	0.212245	0.212298
0.222000	0.212964	0.213016
0.223000	0.213681	0.213733
0.224000	0.214395	0.214449
0.225000	0.215109	0.215162
0.226000	0.215820	0.215874
0.227000	0.216529	0.216584
0.228000	0.217237	0.217292
0.229000	0.217943	0.217998
0.230000	0.218648	0.218703
0.231000	0.219350	0.219406
0.232000	0.220051	0.220107
0.233000	0.220750	0.220806
0.234000	0.221447	0.221503
0.235000	0.222143	0.222199
0.236000	0.222836	0.222893
0.237000	0.223528	0.223586
0.238000	0.224219	0.224276
0.239000	0.224907	0.224965
0.240000	0.225594	0.225653
0.241000	0.226279	0.226338
0.242000	0.226963	0.227022
0.243000	0.227645	0.227704
0.244000	0.228325	0.228384
0.245000	0.229003	0.229063
0.246000	0.229680	0.229740
0.247000	0.230355	0.230415
0.248000	0.231028	0.231089
0.249000	0.231699	0.231761
0.250000	0.232369	0.232431
0.251000	0.233038	0.233099
0.252000	0.233704	0.233766
0.253000	0.234369	0.234431
0.254000	0.235032	0.235095
0.255000	0.235694	0.235757
0.256000	0.236354	0.236417
0.257000	0.237012	0.237076
0.258000	0.237669	0.237733
0.259000	0.238324	0.238388
0.260000	0.238977	0.239042
0.261000	0.239629	0.239694
0.262000	0.240279	0.240344
0.263000	0.240927	0.240993
0.264000	0.241574	0.241640
0.265000	0.242220	0.242286
0.266000	0.242863	0.242930
0.267000	0.243505	0.243572
0.268000	0.244146	0.244213
0.269000	0.244785	0.244852
0.270000	0.245422	0.245489
0.271000	0.246057	0.246125
0.272000	0.246692	0.246760
0.273000	0.247324	0.247392
0.274000	0.247955	0.248024
0.275000	0.248584	0.248653
0.276000	0.249212	0.249281
0.277000	0.249838	0.249908
0.278000	0.250463	0.250533
0.279000	0.251086	0.251156
0.280000	0.251707	0.251778
0.281000	0.252327	0.252398
0.282000	0.252946	0.253017
0.283000	0.253563	0.253634
0.284000	0.254178	0.254250
0.285000	0.254792	0.254864
0.286000	0.255404	0.255476
0.287000	0.256015	0.256087
